5307
id_ESTADO|ID_DISTRITO|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PH|ES|PRI_PVEM|PRD_PT|CI_1|CI_2|NUM_VOTOS_CAN_NREG|NUM_VOTOS_NULOS|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|TIPO_SECCION|LISTA_NOMINAL|CIRCUNSCRIPCION|MODIFICADO
1|2|165|C|1|0|76|34|10|9|3|7|11|27|13|11|||||0|11|2015|6|7|19|19|54.229|1|1|687|2|
1|2|315|C|2|0|76|148|3|15|5|6|9|7|4|1|||||0|19|2015|6|7|20|4|14.839|1|2|685|2|
1|2|323|E|1|1|32|57|14|13|8|2|7|6|1|6|||||0|14|2015|6|7|19|12|38.506|1|2|599|2|
1|2|325|C|3|0|61|55|9|17|3|5|13|7|4|9|||||0|7|2015|6|7|19|4|57.063|1|2|739|2|
1|2|325|E|1|7|55|47|8|13|3|14|12|17|4|2|||||3|16|2015|6|7|19|29|22.584|1|2|679|2|
1|2|492|C|1|0|38|63|7|9|3|3|4|6|5|0|||||0|13|2015|6|7|19|56|42.906|1|1|451|2|
1|2|499|B|1|0|26|48|8|16|4|1|10|9|2|5|||||1|14|2015|6|7|20|55|4.276|1|1|453|2|
1|2|502|B|1|0|40|33|3|14|2|4|5|6|2|3|||||1|13|2015|6|7|19|21|1.281|1|1|397|2|
1|2|503|B|1|0|77|55|4|43|3|8|5|17|6|16|||||1|11|2015|6|7|19|46|42.663|1|1|606|2|
1|2|524|B|1|0|19|21|7|32|5|1|7|4|3|9|||||1|17|2015|6|7|19|14|27.281|1|1|462|2|
1|2|534|B|1|0|38|49|9|11|7|0|8|8|8|7|||||0|3|2015|6|7|19|9|20.645|1|1|443|2|
1|2|550|B|1|0|75|52|19|12|3|11|25|30|8|9|||||1|21|2015|6|7|20|10|51.318|1|1|655|2|
1|2|555|C|2|0|63|63|4|11|12|7|11|13|5|5|||||1|11|2015|6|7|18|49|6.86|1|1|652|2|
1|2|587|B|1|0|45|34|14|20|1|3|8|8|5|6|||||0|7|2015|6|7|20|39|58.648|1|1|447|2|
1|2|589|C|1|0|50|49|8|18|5|3|4|5|3|4|||||0|14|2015|6|7|18|41|2.221|1|2|698|2|
1|2|602|B|1|0|31|94|18|12|6|3|9|2|6|9|||||0|2|2015|6|7|20|18|6.686|1|1|704|2|
1|3|8|B|1|0|107|78|1|11|1|4|19|17|8|8|||||0|22|2015|6|7|19|8|14.688|1|1|562|2|
1|3|11|B|1|0|89|61|8|12|7|4|5|13|8|7|||||1|20|2015|6|7|19|23|13.955|1|1|622|2|
1|3|11|C|1|0|80|64|3|16|4|6|10|14|1|10|||||0|21|2015|6|7|18|59|5.859|1|1|622|2|
1|3|16|B|1|0|45|42|3|5|2|3|7|9|1|6|||||0|8|2015|6|7|19|3|31.808|1|1|417|2|
1|3|19|C|1|0|69|72|6|18|2|0|6|15|4|6|||||0|21|2015|6|7|20|56|50.3|1|1|507|2|
1|3|25|C|1|0|77|40|8|5|0|8|5|7|6|3|||||0|12|2015|6|7|19|58|0.898|1|1|442|2|
1|3|27|B|1|0|115|38|5|10|4|2|16|13|8|8|||||1|12|2015|6|7|19|1|40.149|1|1|524|2|
1|3|44|C|4|0|172|77|0|7|0|14|4|35|14|8|||||1|35|2015|6|7|20|46|9.263|1|1|714|2|
1|3|48|B|1|0|92|50|5|8|2|8|5|19|4|3|||||2|29|2015|6|7|20|36|1.305|1|1|600|2|
1|3|184|C|1|0|65|40|2|9|2|2|7|15|6|6|||||0|17|2015|6|7|18|35|12.383|1|1|413|2|
1|3|197|C|1|0|81|44|5|10|1|4|7|17|7|8|||||0|15|2015|6|7|19|13|52.284|1|1|394|2|
1|3|210|C|1|0|139|69|3|12|2|9|5|30|2|7|||||3|20|2015|6|7|18|40|15.562|1|1|616|2|
1|3|214|B|1|0|124|53|4|10|1|3|3|14|11|10|||||3|14|2015|6|7|19|26|55.877|1|1|502|2|
1|3|231|B|1|0|114|56|4|12|4|9|13|20|14|13|||||0|23|2015|6|7|19|32|9.794|1|1|674|2|
1|3|240|B|1|0|52|99|12|16|7|1|8|21|0|8|||||0|18|2015|6|7|19|18|50.065|1|1|680|2|
1|3|248|C|1|0|24|50|4|11|2|0|4|14|5|5|||||0|2|2015|6|7|18|39|40.142|1|1|396|2|
1|3|265|B|1|0|39|45|4|12|1|2|8|6|2|7|||||0|14|2015|6|7|19|26|44.827|1|1|406|2|
1|3|270|C|2|0|61|45|4|12|5|5|8|17|12|20|||||1|12|2015|6|7|19|20|14.592|1|1|725|2|
1|3|271|C|1|0|37|61|2|12|4|2|3|9|3|7|||||0|12|2015|6|7|19|2|55.259|1|1|427|2|
1|3|274|B|1|0|135|98|4|16|1|3|13|15|6|9|||||0|42|2015|6|7|20|43|30.917|1|1|750|2|
1|3|288|C|1|0|79|33|12|7|3|5|11|6|4|5|||||0|12|2015|6|7|19|18|34.691|1|1|389|2|
