ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|NUMERO_ARE|NUMERO_ZORE|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO
2|3|208|C|1|0|39|7|U|509|1
2|3|27|C|1|0|19|4|U|533|1
2|3|36|C|1|0|56|9|U|724|1
2|3|46|C|1|0|13|3|U|392|1
2|3|51|B|1|0|21|4|U|437|1
2|3|55|B|1|0|78|13|U|624|1
2|3|61|E|1|1|58|10|U|522|1
2|3|74|C|1|0|75|13|U|482|1
2|3|79|B|1|0|69|12|U|526|1
2|3|88|C|1|0|83|14|U|715|1
2|3|93|B|1|0|70|12|U|521|1
2|3|97|B|1|0|64|11|U|650|1
2|3|101|B|1|0|72|12|U|587|1
2|3|106|C|1|0|81|14|U|655|1
2|3|122|B|1|0|27|5|U|730|1
2|3|209|E|1|2|27|5|U|585|1
2|3|124|B|1|0|31|6|U|693|1
2|3|125|C|1|0|32|6|U|620|1
2|3|132|C|2|0|2|1|U|524|1
2|3|153|C|2|0|128|21|U|684|1
2|3|185|C|2|0|116|20|R|718|1
2|3|188|E|1|0|129|21|R|179|1
2|3|191|C|1|0|133|22|R|727|1
2|3|189|E|3|0|133|22|R|391|1
2|3|192|E|1|1|137|23|R|661|1
2|3|195|B|1|0|142|23|R|689|1
2|3|210|B|1|0|118|20|R|447|1
2|3|1852|C|1|0|34|6|U|683|1
2|3|1987|C|2|0|96|16|U|657|1
2|4|1050|C|1|0|37|7|U|736|4
2|4|1153|C|1|0|100|17|U|700|4
2|4|1177|C|4|0|112|19|U|652|4
2|4|1388|C|1|0|1|1|U|676|4
2|4|1401|C|1|0|78|13|U|531|4
2|4|1430|C|1|0|16|3|U|385|4
2|4|1446|C|1|0|27|5|U|436|4
2|4|1447|C|1|0|25|5|U|672|4
2|4|1450|C|1|0|22|4|U|652|4
2|4|1471|B|1|0|122|21|U|390|4
2|4|1477|B|1|0|123|21|U|396|4
2|4|1478|B|1|0|123|21|U|509|4
2|4|1481|B|1|0|128|22|U|591|4
2|4|1545|C|1|0|57|10|U|413|4
2|4|1561|B|1|0|67|12|U|719|4
2|4|1562|B|1|0|68|12|U|734|4
2|4|1574|B|1|0|70|12|U|655|4
2|4|1587|C|1|0|3|1|U|448|4
2|4|1618|B|1|0|104|18|U|575|4
2|4|1725|B|1|0|142|24|U|441|4
2|4|1751|B|1|0|164|28|R|382|4
2|4|1745|B|1|0|155|27|U|483|4
2|4|1752|B|1|0|157|27|U|406|4
2|4|1764|B|1|0|154|26|U|719|4
2|4|1783|B|1|0|152|26|U|714|4
2|4|1992|C|2|0|48|8|U|705|4
2|4|2008|B|1|0|167|29|R|643|4
2|4|2022|C|1|0|32|6|U|620|4
2|4|2025|C|1|0|33|6|U|602|4
2|4|2028|C|1|0|10|2|M|571|4
2|5|884|C|1|0|6|2|U|600|4
2|5|886|B|1|0|1|1|U|500|4
2|5|886|C|1|0|1|1|U|500|4
2|5|901|C|1|0|4|1|U|582|4
2|5|972|B|1|0|23|5|U|668|4
2|5|1040|B|1|0|39|7|U|643|4
2|5|1041|C|1|0|50|9|U|504|4
2|5|1051|C|1|0|107|19|U|523|4
2|5|1053|B|1|0|57|10|U|638|4
2|5|1071|C|1|0|57|10|U|538|4
2|5|1059|C|1|0|48|9|U|598|4
2|5|1061|C|1|0|38|7|U|380|4
2|5|1067|B|1|0|49|9|U|395|4
2|5|1073|B|1|0|108|19|U|603|4
2|5|1081|B|1|0|46|8|U|549|4
2|5|1090|C|1|0|66|12|U|518|4
2|5|1096|B|1|0|98|17|U|647|4
2|5|1098|B|1|0|101|18|U|598|4
2|5|1098|C|2|0|101|18|U|597|4
2|5|1113|B|1|0|68|12|U|441|4
2|5|1129|B|1|0|84|15|U|458|4
2|5|1138|B|1|0|72|13|U|552|4
2|5|1140|C|3|0|87|15|U|711|4
2|5|1151|C|5|0|135|24|U|665|4
2|5|1154|B|1|0|136|24|U|582|4
2|5|1164|C|3|0|74|13|U|659|4
2|5|1328|C|2|0|117|21|U|719|4
2|5|1328|C|3|0|117|21|U|719|4
2|5|1335|B|1|0|127|22|U|708|4
2|5|1419|B|1|0|144|25|U|506|4
2|6|750|B|1|0|62|6|U|744|4
2|6|752|B|1|0|71|7|U|578|4
2|6|764|C|2|0|31|3|U|734|4
2|6|766|C|1|0|43|4|U|687|4
2|6|772|B|1|0|84|8|U|485|4
2|6|795|C|1|0|44|4|U|594|4
2|6|808|C|1|0|122|12|U|557|4
2|6|817|C|1|0|74|7|U|382|4
2|6|821|C|1|0|123|12|U|648|4
2|6|828|E|1|0|101|10|U|286|4
2|6|838|C|1|0|131|13|U|540|4
2|6|843|C|1|0|106|10|U|635|4
2|6|845|C|1|0|114|11|U|451|4
2|6|847|C|1|0|134|13|U|579|4
2|6|851|C|2|0|136|13|U|550|4
2|6|858|E|2|1|264|26|U|584|4
2|6|897|C|1|0|161|16|U|484|4
2|6|924|C|1|0|156|15|U|434|4
2|6|987|C|1|0|202|20|U|608|4
2|6|989|B|1|0|206|20|U|516|4
2|6|1245|B|1|0|22|2|U|672|4
2|6|1249|B|1|0|16|1|U|627|4
2|6|1252|B|1|0|12|1|U|633|4
2|6|1359|C|1|0|15|1|U|732|4
2|6|1498|C|7|0|242|24|M|699|4
2|6|1499|E|1|2|186|18|M|603|4
2|6|1524|C|2|0|252|25|R|689|4
2|6|2039|C|1|0|105|10|U|651|4
2|6|2041|C|1|0|231|23|R|722|4
2|6|2042|C|2|0|225|22|U|578|4
2|7|12|C|3|0|150|26|U|711|1
2|7|172|E|3|5|149|26|M|631|1
2|7|540|C|4|0|1|1|M|687|2
2|7|679|C|1|0|50|9|U|613|2
2|7|691|C|4|0|20|4|U|718|2
2|7|715|C|4|0|60|11|U|638|3
2|7|718|B|1|0|65|12|U|564|3
2|7|725|B|1|0|78|14|M|667|3
2|7|726|C|2|0|78|14|M|519|3
2|7|728|B|1|0|79|15|M|424|3
2|7|730|E|1|0|80|15|R|391|3
2|7|1194|C|1|0|95|17|R|619|5
2|7|1194|E|2|1|98|18|R|629|5
2|7|1263|C|12|0|119|21|U|737|5
2|7|1266|C|3|0|101|18|U|609|5
2|7|1268|C|1|0|111|20|U|385|5
2|7|1273|C|2|0|114|20|U|500|5
2|7|1291|C|3|0|94|17|U|727|5
2|7|1297|C|1|0|102|19|M|654|5
2|7|1367|C|5|0|106|19|U|722|5
2|7|1370|B|1|0|107|19|U|703|5
2|7|1657|B|1|0|14|3|U|532|2
2|7|1658|C|2|0|15|3|U|547|2
2|7|1666|B|1|0|16|3|U|512|2
2|7|1666|C|1|0|16|3|U|511|2
2|7|1671|B|1|0|18|3|U|616|2
2|7|1672|B|1|0|17|3|U|525|2
2|7|1958|C|1|0|6|1|U|639|2
2|7|1967|C|1|0|10|2|U|488|2
2|7|1981|C|3|0|137|24|U|718|1
2|8|1012|B|1|0|9|2|U|388|4
2|8|1031|B|1|0|85|15|U|607|4
2|8|1033|C|1|0|14|3|U|510|4
2|8|1037|C|1|0|12|2|U|514|4
2|8|1165|B|1|0|5|1|U|476|4
2|8|1167|C|2|0|5|1|U|625|4
2|8|1169|C|2|0|17|3|U|717|4
2|8|1186|C|2|0|31|6|U|713|4
2|8|1195|B|1|0|74|13|U|695|4
2|8|1202|C|3|0|86|15|U|707|4
2|8|1205|E|1|1|111|19|U|639|4
2|8|1209|C|3|0|95|16|U|707|4
2|8|1217|C|2|0|28|5|U|603|4
2|8|1231|E|1|1|47|8|U|747|4
2|8|1232|B|1|0|49|9|U|561|4
2|8|1234|C|2|0|53|9|U|652|4
2|8|1234|C|6|0|54|9|U|652|4
2|8|1238|C|1|0|75|13|U|657|4
2|8|1238|C|4|0|76|13|U|657|4
2|8|1244|C|3|0|102|17|U|590|4
2|8|1276|C|1|0|135|24|U|643|4
2|8|1277|C|1|0|135|24|U|640|4
2|8|1289|E|1|0|127|22|U|517|4
2|8|1336|C|6|0|16|3|U|675|4
2|8|1737|C|1|0|44|8|U|395|4
2|8|1802|B|1|0|149|26|U|584|4
2|8|1902|B|1|0|133|23|U|620|4
2|8|1913|B|1|0|139|24|U|384|4
2|8|1931|B|1|0|142|25|U|403|4
2|8|1941|B|1|0|155|27|U|463|4
3|1|126|B|1|0|137|18|U|709|3
