591
id_ESTADO|ID_DISTRITO|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PH|ES|PRI_PVEM|PRD_PT|CI_1|CI_2|NUM_VOTOS_CAN_NREG|NUM_VOTOS_NULOS|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|TIPO_SECCION|LISTA_NOMINAL|CIRCUNSCRIPCION|MODIFICADO
1|1|358|B|1|0|91|57|14|20|12|5|13|8|6|3|||||0|18|2015|6|7|19|4|49|1|1|645|2|
1|1|411|C|5|0|73|80|2|9|5|1|13|12|7|7|||||0|12|2015|6|7|19|10|19.181|2|2|659|2|
1|1|414|C|1|0|103|68|0|14|1|3|7|11|1|11|||||0|13|2015|6|7|19|7|19.943|1|1|579|2|
1|1|415|C|5|0|54|56|18|9|7|4|28|8|8|19|||||0|16|2015|6|7|19|5|48.457|1|2|649|2|
1|1|430|C|1|0|74|76|35|23|23|6|14|2|5|1|||||0|14|2015|6|7|18|51|27.072|1|2|622|2|
1|1|439|C|1|0|75|36|3|19|7|4|51|22|5|3|||||1|8|2015|6|7|19|1|56.016|1|1|575|2|
1|1|479|C|1|0|67|106|20|10|36|0|24|11|12|4|||||0|11|2015|6|7|19|7|44.092|1|2|732|2|
1|2|86|C|6|0|45|60|11|20|6|4|9|14|5|11|||||0|16|2015|6|7|19|6|24.348|1|1|734|2|
1|2|109|B|1|0|106|63|6|17|5|2|19|20|7|4|||||2|10|2015|6|7|19|3|33.673|1|1|576|2|
1|2|118|C|2|0|60|62|7|15|6|4|23|21|6|7|||||1|17|2015|6|7|19|7|57.76|1|1|678|2|
1|2|120|B|1|0|81|100|4|6|6|8|18|23|6|16|||||0|25|2015|6|7|19|2|3.687|1|1|747|2|
1|2|155|C|2|0|63|64|3|20|6|9|10|8|7|7|||||0|9|2015|6|7|19|10|52.295|1|1|705|2|
1|2|325|C|3|0|61|55|9|17|3|5|13|7|4|9|||||0|7|2015|6|7|19|4|57.063|1|2|739|2|
1|2|534|B|1|0|38|49|9|11|7|0|8|8|8|7|||||0|3|2015|6|7|19|9|20.645|1|1|443|2|
1|2|555|C|2|0|63|63|4|11|12|7|11|13|5|5|||||1|11|2015|6|7|18|49|6.86|1|1|652|2|
1|2|589|C|1|0|50|49|8|18|5|3|4|5|3|4|||||0|14|2015|6|7|18|41|2.221|1|2|698|2|
1|3|8|B|1|0|107|78|1|11|1|4|19|17|8|8|||||0|22|2015|6|7|19|8|14.688|1|1|562|2|
1|3|11|C|1|0|80|64|3|16|4|6|10|14|1|10|||||0|21|2015|6|7|18|59|5.859|1|1|622|2|
1|3|16|B|1|0|45|42|3|5|2|3|7|9|1|6|||||0|8|2015|6|7|19|3|31.808|1|1|417|2|
1|3|27|B|1|0|115|38|5|10|4|2|16|13|8|8|||||1|12|2015|6|7|19|1|40.149|1|1|524|2|
1|3|184|C|1|0|65|40|2|9|2|2|7|15|6|6|||||0|17|2015|6|7|18|35|12.383|1|1|413|2|
1|3|210|C|1|0|139|69|3|12|2|9|5|30|2|7|||||3|20|2015|6|7|18|40|15.562|1|1|616|2|
1|3|248|C|1|0|24|50|4|11|2|0|4|14|5|5|||||0|2|2015|6|7|18|39|40.142|1|1|396|2|
1|3|271|C|1|0|37|61|2|12|4|2|3|9|3|7|||||0|12|2015|6|7|19|2|55.259|1|1|427|2|
1|3|326|C|3|0|90|48|7|6|3|8|15|24|7|11|||||1|20|2015|6|7|18|46|13.537|1|2|677|2|
1|3|336|C|1|0|53|127|6|12|16|1|6|6|4|3|||||0|11|2015|6|7|18|58|28.508|1|2|573|2|
4|2|264|E|1|0|53|34|0|0|0|0|0|0|0|0|8||||0|0|2015|6|7|19|11|28.938|1|2|124|3|
5|2|206|C|1|0|48|117|2|7|2|2|6|16|2|5|3||||0|6|2015|6|7|18|54|44.28|1|1|579|2|
5|2|465|B|1|0|39|100|4|7|2|5|18|9|2|0|0||||0|3|2015|6|7|18|34|29.436|1|1|476|2|
5|2|500|C|1|0|35|110|0|3|2|0|19|7|1|2|0||||0|5|2015|6|7|19|5|5.125|1|1|410|2|
5|2|1065|C|1|0|27|88|1|4|3|0|10|2|1|1|2||||0|2|2015|6|7|18|32|0.858|1|1|418|2|
5|2|1099|B|1|0|10|92|21|6|3|18|49|16|8|2|4||||0|9|2015|6|7|19|1|20.551|1|1|383|2|
5|2|1099|C|1|0|20|92|25|4|0|19|35|18|4|1|2||||0|5|2015|6|7|19|9|9.789|1|1|382|2|
5|2|1140|B|1|0|21|152|45|8|4|9|18|55|11|3|3||||0|13|2015|6|7|19|5|9.089|1|1|721|2|
5|2|1163|B|1|0|14|207|41|11|5|42|17|13|7|1|0||||0|7|2015|6|7|19|10|59.274|1|2|684|2|
5|3|327|C|1|0|119|83|6|3|0|3|9|15|3|15|1||||0|4|2015|6|7|18|52|4.278|1|1|599|2|
5|3|335|C|2|0|79|83|6|4|10|4|14|11|5|21|0||||0|8|2015|6|7|19|5|49.288|1|1|516|2|
5|3|338|B|1|0|81|111|6|4|3|2|10|16|4|8|1||||0|4|2015|6|7|19|7|9.064|1|1|579|2|
5|3|349|B|1|0|43|104|2|8|1|3|3|8|2|11|2||||0|2|2015|6|7|18|40|43.795|1|1|513|2|
5|3|359|B|1|0|40|141|2|4|7|1|8|5|0|3|2||||0|5|2015|6|7|19|3|7.76|1|1|442|2|
