CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|PRS|MC|NVA_ALIANZA|MORENA|ES|PAN_PRD_PT_PRS|PAN_PRD_PT|PAN_PRD_PRS|PAN_PT_PRS|PRD_PT_PRS|PAN_PRD|PAN_PT|PAN_PRS|PRD_PT|PRD_PRS|PT_PRS|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|CAND_IND3|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|9.00|U|B|66.00|98.00|39.00|6.00|1.00|3.00|20.00|4.00|146.00|7.00|2.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|4.00|0.00|29.00|0.00|427.00|6.00|433.00|665.00|||||1|1|1|ACAPONETA|9|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|9.00|U|C01|78.00|107.00|28.00|10.00|9.00|2.00|21.00|2.00|144.00|6.00|5.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|39.00|1.00|454.00|9.00|464.00|665.00|||||1|1|1|ACAPONETA|9|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|10.00|U|B|63.00|71.00|26.00|11.00|0.00|2.00|12.00|2.00|94.00|13.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|6.00|2.00|23.00|0.00|327.00|14.00|341.00|483.00|||||1|1|1|ACAPONETA|10|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|10.00|U|C01|69.00|70.00|11.00|5.00|3.00|4.00|8.00|2.00|119.00|10.00|3.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|31.00|0.00|340.00|12.00|352.00|482.00|||||1|1|1|ACAPONETA|10|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|11.00|U|B|45.00|56.00|19.00|1.00|2.00|9.00|11.00|2.00|48.00|1.00|3.00|0.00|0.00|0.00|0.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|13.00|0.00|216.00|4.00|220.00|330.00|||||1|1|1|ACAPONETA|11|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|12.00|U|B|82.00|130.00|35.00|8.00|4.00|2.00|11.00|1.00|141.00|8.00|4.00|0.00|0.00|0.00|0.00|2.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|22.00|0.00|453.00|10.00|463.00|632.00|||||1|1|1|ACAPONETA|12|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|13.00|U|B|93.00|87.00|53.00|4.00|7.00|2.00|5.00|1.00|90.00|0.00|2.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|34.00|0.00|382.00|13.00|395.00|567.00|||||1|1|1|ACAPONETA|13|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|13.00|U|SMR01|82.00|89.00|28.00|3.00|5.00|0.00|6.00|5.00|77.00|5.00|5.00|0.00|0.00|0.00|0.00|7.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|6.00|0.00|31.00|0.00|349.00|11.00|360.00|0.00|||||1|1|1|ACAPONETA|13|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|14.00|U|B|32.00|55.00|25.00|5.00|1.00|4.00|5.00|0.00|41.00|0.00|4.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|10.00|0.00|185.00|4.00|189.00|245.00|||||1|1|1|ACAPONETA|14|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|15.00|U|B|56.00|87.00|29.00|4.00|7.00|1.00|9.00|5.00|84.00|4.00|1.00|0.00|0.00|0.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|2.00|0.00|15.00|0.00|309.00|7.00|316.00|426.00|||||1|1|1|ACAPONETA|15|U|
