CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|NVA_ALIANZA|MORENA|ES|PRD_PAN|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
2|32|ZACATECAS|4|8.00|OJOCALIENTE|50.00|TRANCOSO|525.00|RURAL|B|7.00|58.00|88.00|16.00|3.00|4.00|94.00|6.00|1.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|278.00|19.00|297.00|392.00|ACTA CASILLA||||4|8|57|TRANCOSO|525|R|
2|32|ZACATECAS|2|11.00|VILLANUEVA|57.00|VILLANUEVA|1713.00|URBANO(A)|B|5.00|73.00|71.00|1.00|7.00|14.00|23.00|16.00|15.00|3.00|0.00|2.00|1.00|0.00|1.00|0.00|232.00|9.00|241.00|392.00|ACTA CASILLA||||2|11|55|VILLANUEVA|1713|U|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|50.00|TRANCOSO|530.00|MIXTO(A)|C02|11.00|119.00|96.00|16.00|8.00|8.00|63.00|27.00|6.00|0.00|1.00|0.00|0.00|1.00|1.00|0.00|357.00|15.00|372.00|516.00|ACTA CASILLA||||4|8|57|TRANCOSO|530|M|
2|32|ZACATECAS|2|11.00|VILLANUEVA|57.00|VILLANUEVA|1715.00|URBANO(A)|B|19.00|153.00|66.00|0.00|3.00|8.00|80.00|8.00|5.00|5.00|0.00|0.00|0.00|1.00|1.00|0.00|349.00|9.00|358.00|542.00|ACTA CASILLA||||2|11|55|VILLANUEVA|1715|U|
2|32|ZACATECAS|4|15.00|PINOS|39.00|PINOS|1095.00|MIXTO(A)|B|4.00|131.00|5.00|2.00|1.00|2.00|150.00|11.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|307.00|5.00|312.00|413.00|ACTA CASILLA||||4|15|38|PINOS|1095|M|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|470.00|MIXTO(A)|B|13.00|115.00|29.00|22.00|0.00|4.00|114.00|28.00|3.00|0.00|2.00|1.00|0.00|5.00|7.00|0.00|343.00|8.00|351.00|725.00|ACTA CASILLA||||4|4|17|GUADALUPE|470|M|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|37.00|GENERAL PANFILO NATERA|442.00|MIXTO(A)|C01|5.00|41.00|27.00|42.00|42.00|45.00|38.00|32.00|1.00|0.00|7.00|5.00|1.00|1.00|0.00|0.00|287.00|10.00|297.00|440.00|ACTA CASILLA||||4|8|16|GENERAL PANFILO NATERA|442|M|
2|32|ZACATECAS|2|13.00|JALPA|34.00|NOCHISTLAN DE MEJIA|986.00|RURAL|B|5.00|52.00|1.00|3.00|0.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|67.00|2.00|69.00|121.00|ACTA CASILLA||||2|13|34|NOCHISTLAN DE MEJIA|986|R|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|37.00|GENERAL PANFILO NATERA|442.00|MIXTO(A)|B|4.00|38.00|17.00|29.00|46.00|58.00|36.00|39.00|1.00|1.00|4.00|5.00|1.00|1.00|2.00|0.00|282.00|12.00|294.00|440.00|ACTA CASILLA||||4|8|16|GENERAL PANFILO NATERA|442|M|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|37.00|GENERAL PANFILO NATERA|443.00|URBANO(A)|B|7.00|74.00|33.00|36.00|47.00|24.00|38.00|14.00|0.00|2.00|15.00|7.00|1.00|2.00|1.00|0.00|301.00|10.00|311.00|455.00|ACTA CASILLA||||4|8|16|GENERAL PANFILO NATERA|443|U|
2|32|ZACATECAS|3|18.00|JUAN ALDAMA|21.00|JUAN ALDAMA|718.00|URBANO(A)|C01|21.00|150.00|16.00|94.00|5.00|2.00|118.00|51.00|0.00|1.00|3.00|1.00|0.00|0.00|1.00|0.00|463.00|6.00|469.00|745.00|ACTA CASILLA||||3|18|22|JUAN ALDAMA|718|U|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|37.00|GENERAL PANFILO NATERA|445.00|RURAL|B|3.00|81.00|33.00|63.00|50.00|28.00|10.00|21.00|0.00|3.00|6.00|0.00|0.00|3.00|0.00|0.00|301.00|9.00|310.00|520.00|ACTA CASILLA||||4|8|16|GENERAL PANFILO NATERA|445|R|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|470.00|MIXTO(A)|C06|11.00|113.00|26.00|24.00|9.00|2.00|127.00|25.00|2.00|0.00|2.00|0.00|0.00|7.00|10.00|0.00|358.00|8.00|366.00|725.00|ACTA CASILLA||||4|4|17|GUADALUPE|470|M|
2|32|ZACATECAS|1|17.00|SOMBRERETE|9.00|CHALCHIHUITES|125.00|RURAL|B|11.00|73.00|16.00|58.00|1.00|1.00|19.00|14.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|196.00|6.00|202.00|318.00|GRUPO DE RECUENTO||||1|17|9|CHALCHIHUITES|125|R|
2|32|ZACATECAS|3|18.00|JUAN ALDAMA|21.00|JUAN ALDAMA|719.00|MIXTO(A)|B|12.00|110.00|6.00|46.00|7.00|4.00|79.00|50.00|0.00|1.00|6.00|0.00|0.00|0.00|0.00|0.00|321.00|6.00|327.00|553.00|ACTA CASILLA||||3|18|22|JUAN ALDAMA|719|M|
2|32|ZACATECAS|3|4.00|GUADALUPE|52.00|VETAGRANDE|1602.00|MIXTO(A)|C01|13.00|147.00|62.00|7.00|1.00|2.00|94.00|22.00|8.00|1.00|2.00|0.00|0.00|2.00|2.00|0.00|363.00|9.00|372.00|413.00|GRUPO DE RECUENTO||||3|4|50|VETAGRANDE|1602|M|
2|32|ZACATECAS|4|15.00|PINOS|39.00|PINOS|1096.00|URBANO(A)|C01|8.00|112.00|13.00|1.00|1.00|2.00|142.00|13.00|1.00|2.00|1.00|0.00|0.00|3.00|1.00|0.00|300.00|3.00|303.00|397.00|ACTA CASILLA||||4|15|38|PINOS|1096|U|
2|32|ZACATECAS|2|13.00|JALPA|34.00|NOCHISTLAN DE MEJIA|993.00|RURAL|B|1.00|35.00|2.00|15.00|3.00|0.00|6.00|12.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|75.00|4.00|79.00|131.00|ACTA CASILLA||||2|13|34|NOCHISTLAN DE MEJIA|993|R|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|470.00|MIXTO(A)|C11|13.00|108.00|36.00|25.00|4.00|3.00|136.00|20.00|4.00|1.00|2.00|0.00|0.00|6.00|2.00|0.00|360.00|11.00|371.00|724.00|ACTA CASILLA||||4|4|17|GUADALUPE|470|M|
2|32|ZACATECAS|1|17.00|SOMBRERETE|9.00|CHALCHIHUITES|119.00|MIXTO(A)|B|28.00|185.00|27.00|53.00|1.00|5.00|88.00|30.00|1.00|2.00|2.00|0.00|0.00|1.00|0.00|0.00|423.00|4.00|427.00|671.00|GRUPO DE RECUENTO||||1|17|9|CHALCHIHUITES|119|M|
2|32|ZACATECAS|1|17.00|SOMBRERETE|9.00|CHALCHIHUITES|130.00|URBANO(A)|B|12.00|104.00|8.00|34.00|2.00|7.00|23.00|26.00|1.00|1.00|0.00|2.00|0.00|0.00|0.00|0.00|220.00|11.00|231.00|401.00|GRUPO DE RECUENTO||||1|17|9|CHALCHIHUITES|130|U|
2|32|ZACATECAS|1|17.00|SOMBRERETE|9.00|CHALCHIHUITES|125.00|RURAL|E01|8.00|46.00|18.00|17.00|4.00|4.00|10.00|1.00|0.00|3.00|1.00|0.00|0.00|0.00|0.00|0.00|112.00|3.00|115.00|181.00|GRUPO DE RECUENTO||||1|17|9|CHALCHIHUITES|125|R|
2|32|ZACATECAS|1|5.00|FRESNILLO|13.00|FRESNILLO|145.00|URBANO(A)|B|14.00|95.00|5.00|11.00|5.00|3.00|86.00|48.00|0.00|0.00|1.00|0.00|0.00|6.00|3.00|0.00|277.00|5.00|282.00|547.00|ACTA CASILLA||||1|5|10|FRESNILLO|145|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|470.00|MIXTO(A)|C12|12.00|108.00|21.00|18.00|9.00|5.00|110.00|16.00|1.00|1.00|0.00|0.00|0.00|2.00|9.00|0.00|312.00|6.00|318.00|724.00|ACTA CASILLA||||4|4|17|GUADALUPE|470|M|
2|32|ZACATECAS|1|5.00|FRESNILLO|13.00|FRESNILLO|142.00|URBANO(A)|C01|12.00|67.00|6.00|3.00|1.00|1.00|83.00|26.00|1.00|3.00|4.00|0.00|0.00|4.00|5.00|0.00|216.00|4.00|220.00|419.00|ACTA CASILLA||||1|5|10|FRESNILLO|142|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|1886.00|URBANO(A)|B|17.00|73.00|22.00|6.00|7.00|2.00|137.00|17.00|0.00|0.00|0.00|0.00|0.00|5.00|2.00|0.00|288.00|9.00|297.00|524.00|ACTA CASILLA||||4|4|17|GUADALUPE|1886|U|
2|32|ZACATECAS|4|15.00|PINOS|39.00|PINOS|1109.00|RURAL|C01|7.00|177.00|13.00|14.00|3.00|0.00|147.00|16.00|0.00|0.00|0.00|0.00|0.00|2.00|2.00|0.00|381.00|8.00|389.00|631.00|ACTA CASILLA||||4|15|38|PINOS|1109|R|
2|32|ZACATECAS|2|11.00|VILLANUEVA|57.00|VILLANUEVA|1749.00|RURAL|B|19.00|83.00|147.00|7.00|2.00|18.00|37.00|16.00|12.00|1.00|1.00|2.00|0.00|1.00|2.00|0.00|348.00|7.00|355.00|602.00|ACTA CASILLA||||2|11|55|VILLANUEVA|1749|R|
2|32|ZACATECAS|4|15.00|PINOS|39.00|PINOS|1111.00|RURAL|B|2.00|247.00|12.00|1.00|7.00|2.00|117.00|10.00|0.00|2.00|1.00|1.00|0.00|0.00|1.00|0.00|403.00|10.00|413.00|510.00|ACTA CASILLA||||4|15|38|PINOS|1111|R|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|1891.00|URBANO(A)|B|18.00|61.00|18.00|3.00|0.00|2.00|99.00|10.00|1.00|0.00|1.00|0.00|0.00|2.00|7.00|0.00|222.00|4.00|226.00|408.00|ACTA CASILLA||||4|4|17|GUADALUPE|1891|U|
2|32|ZACATECAS|1|2.00|ZACATECAS|5.00|CALERA|59.00|RURAL|B|10.00|93.00|10.00|8.00|4.00|7.00|143.00|29.00|2.00|0.00|2.00|0.00|0.00|14.00|7.00|1.00|329.00|13.00|343.00|534.00|GRUPO DE RECUENTO||||1|2|5|CALERA|59|R|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|36.00|OJOCALIENTE|1038.00|MIXTO(A)|C01|21.00|109.00|14.00|15.00|3.00|4.00|93.00|38.00|3.00|1.00|1.00|0.00|0.00|4.00|1.00|1.00|307.00|21.00|329.00|505.00|ACTA CASILLA||||2|8|36|OJOCALIENTE|1038|M|
2|32|ZACATECAS|2|11.00|VILLANUEVA|57.00|VILLANUEVA|1755.00|RURAL|B|21.00|34.00|56.00|3.00|2.00|2.00|5.00|8.00|6.00|1.00|0.00|0.00|0.00|0.00|2.00|0.00|140.00|5.00|145.00|232.00|ACTA CASILLA||||2|11|55|VILLANUEVA|1755|R|
2|32|ZACATECAS|3|1.00|ZACATECAS|58.00|ZACATECAS|1823.00|URBANO(A)|C01|18.00|77.00|32.00|3.00|7.00|0.00|92.00|32.00|7.00|1.00|1.00|0.00|0.00|3.00|5.00|0.00|278.00|7.00|285.00|484.00|ACTA CASILLA||||3|1|56|ZACATECAS|1823|U|
2|32|ZACATECAS|1|2.00|ZACATECAS|5.00|CALERA|40.00|MIXTO(A)|C01|57.00|96.00|19.00|4.00|5.00|2.00|61.00|58.00|13.00|0.00|1.00|0.00|0.00|3.00|6.00|0.00|325.00|8.00|333.00|624.00|ACTA CASILLA||||1|2|5|CALERA|40|M|
2|32|ZACATECAS|1|7.00|FRESNILLO|13.00|FRESNILLO|291.00|RURAL|B|7.00|157.00|21.00|5.00|19.00|3.00|83.00|32.00|2.00|1.00|1.00|0.00|1.00|4.00|1.00|0.00|337.00|10.00|347.00|565.00|ACTA CASILLA||||1|7|10|FRESNILLO|291|R|
