CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PPG|COMUN_PRI_PVEM|COMUN_PRD_PT|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C10|6.00|109.00|103.00|3.00|4.00|19.00|4.00|12.00|2.00|1.00|2.00|5.00|6.00|0.00|276.00|14.00|290.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C11|5.00|124.00|70.00|7.00|4.00|19.00|3.00|17.00|4.00|1.00|1.00|3.00|3.00|0.00|261.00|16.00|277.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C12|3.00|102.00|92.00|7.00|9.00|18.00|4.00|10.00|2.00|4.00|7.00|1.00|8.00|0.00|267.00|9.00|276.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C13|9.00|100.00|92.00|11.00|4.00|24.00|3.00|10.00|4.00|2.00|4.00|7.00|13.00|0.00|283.00|13.00|296.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1214.00|URBANA|B|5.00|111.00|80.00|9.00|5.00|18.00|9.00|9.00|6.00|1.00|3.00|2.00|4.00|0.00|262.00|13.00|275.00|606.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1214|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1214.00|URBANA|C01|7.00|141.00|64.00|8.00|7.00|18.00|1.00|18.00|2.00|3.00|3.00|3.00|4.00|0.00|279.00|24.00|303.00|605.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1214|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1214.00|URBANA|C02|5.00|109.00|88.00|8.00|7.00|23.00|7.00|10.00|4.00|2.00|2.00|1.00|4.00|0.00|270.00|8.00|278.00|605.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1214|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1215.00|URBANA|B|15.00|0.00|0.00|0.00|0.00|25.00|7.00|20.00|3.00|0.00|1.00|159.00|99.00|0.00|329.00|16.00|345.00|563.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1215|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1215.00|URBANA|C01|15.00|151.00|72.00|6.00|7.00|22.00|7.00|25.00|2.00|3.00|3.00|1.00|3.00|0.00|317.00|19.00|336.00|562.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1215|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1215.00|URBANA|S01|11.00|268.00|165.00|0.00|6.00|40.00|8.00|23.00|2.00|3.00|3.00|4.00|19.00|0.00|552.00|23.00|575.00|0.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1215|U|
