CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PRI_PVEM|PRD_PT_NVA_ALIANZA|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|854.00|URBANA|C01|32.00|63.00|89.00|9.00|4.00|8.00|3.00|9.00|3.00|0.00|0.00|0.00|0.00|220.00|9.00|229.00|564.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|854|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|854.00|URBANA|C02|33.00|52.00|94.00|6.00|1.00|1.00|3.00|17.00|5.00|0.00|1.00|5.00|0.00|218.00|6.00|224.00|564.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|854|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|855.00|URBANA|B|38.00|74.00|93.00|5.00|6.00|2.00|1.00|27.00|3.00|0.00|0.00|2.00|0.00|251.00|13.00|264.00|605.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|855|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|855.00|URBANA|C01|27.00|93.00|87.00|4.00|3.00|3.00|0.00|8.00|4.00|0.00|0.00|0.00|1.00|229.00|10.00|240.00|604.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|855|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|855.00|URBANA|C02|27.00|65.00|91.00|3.00|4.00|3.00|1.00|22.00|2.00|0.00|1.00|2.00|0.00|221.00|10.00|231.00|604.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|855|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|856.00|URBANA|B|37.00|71.00|90.00|6.00|2.00|1.00|2.00|17.00|1.00|0.00|0.00|0.00|0.00|227.00|7.00|234.00|575.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|856|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|856.00|URBANA|C01|36.00|83.00|83.00|3.00|1.00|1.00|4.00|16.00|3.00|0.00|2.00|0.00|0.00|232.00|12.00|244.00|575.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|856|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|856.00|URBANA|C02|36.00|58.00|80.00|3.00|1.00|4.00|3.00|19.00|4.00|0.00|1.00|2.00|0.00|211.00|11.00|222.00|574.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|856|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|856.00|URBANA|C03|48.00|56.00|78.00|3.00|1.00|1.00|2.00|15.00|2.00|0.00|0.00|1.00|0.00|207.00|6.00|213.00|574.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|856|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|857.00|URBANA|B|72.00|79.00|63.00|3.00|2.00|7.00|2.00|19.00|1.00|0.00|0.00|2.00|1.00|250.00|12.00|263.00|565.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|857|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|857.00|URBANA|C01|71.00|87.00|63.00|2.00|1.00|5.00|1.00|15.00|1.00|0.00|0.00|1.00|0.00|247.00|8.00|255.00|564.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|857|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|858.00|URBANA|B|41.00|85.00|87.00|3.00|4.00|6.00|2.00|9.00|4.00|0.00|0.00|0.00|0.00|241.00|0.00|241.00|680.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|858|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|858.00|URBANA|C01|38.00|66.00|131.00|0.00|0.00|0.00|0.00|4.00|0.00|0.00|0.00|0.00|1.00|239.00|8.00|248.00|680.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|858|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|858.00|URBANA|C02|30.00|80.00|134.00|2.00|1.00|2.00|2.00|13.00|3.00|0.00|0.00|0.00|0.00|267.00|6.00|273.00|680.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|858|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|858.00|URBANA|C03|38.00|82.00|124.00|2.00|4.00|1.00|3.00|12.00|4.00|0.00|0.00|0.00|0.00|270.00|8.00|278.00|679.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|858|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|858.00|URBANA|C04|25.00|73.00|110.00|2.00|3.00|6.00|3.00|9.00|7.00|0.00|0.00|0.00|0.00|238.00|7.00|245.00|679.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|858|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|858.00|URBANA|C05|48.00|67.00|99.00|3.00|6.00|3.00|2.00|9.00|1.00|0.00|0.00|3.00|0.00|241.00|8.00|249.00|679.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|858|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|859.00|URBANA|B|27.00|78.00|85.00|0.00|0.00|4.00|4.00|11.00|2.00|0.00|1.00|2.00|0.00|214.00|0.00|214.00|629.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|859|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|859.00|URBANA|C01|33.00|67.00|64.00|4.00|4.00|7.00|4.00|10.00|1.00|0.00|0.00|0.00|0.00|194.00|6.00|200.00|629.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|859|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|859.00|URBANA|C02|46.00|75.00|81.00|3.00|2.00|1.00|3.00|17.00|1.00|0.00|1.00|1.00|0.00|231.00|2.00|233.00|629.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|859|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|859.00|URBANA|C03|30.00|62.00|66.00|2.00|2.00|4.00|1.00|15.00|1.00|0.00|0.00|1.00|0.00|184.00|0.00|184.00|628.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|859|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|859.00|URBANA|C04|24.00|73.00|94.00|4.00|3.00|6.00|2.00|17.00|1.00|0.00|1.00|1.00|0.00|226.00|7.00|233.00|628.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|859|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|859.00|URBANA|C05|43.00|69.00|73.00|5.00|2.00|0.00|3.00|11.00|0.00|0.00|0.00|4.00|0.00|210.00|4.00|214.00|628.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|859|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|B|28.00|62.00|82.00|3.00|5.00|5.00|2.00|8.00|3.00|0.00|2.00|2.00|0.00|202.00|12.00|214.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C01|44.00|74.00|44.00|5.00|1.00|3.00|2.00|12.00|4.00|0.00|2.00|1.00|0.00|192.00|7.00|199.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C02|30.00|68.00|77.00|5.00|6.00|2.00|2.00|17.00|3.00|0.00|0.00|0.00|0.00|210.00|14.00|224.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C03|35.00|64.00|103.00|2.00|5.00|4.00|4.00|23.00|3.00|0.00|0.00|2.00|0.00|245.00|15.00|260.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C04|41.00|64.00|71.00|7.00|1.00|3.00|3.00|15.00|3.00|0.00|1.00|1.00|0.00|210.00|7.00|217.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C05|39.00|58.00|72.00|3.00|4.00|1.00|3.00|16.00|4.00|0.00|1.00|0.00|0.00|201.00|9.00|210.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C06|34.00|69.00|73.00|5.00|1.00|6.00|5.00|14.00|2.00|0.00|1.00|0.00|0.00|210.00|8.00|218.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C07|30.00|71.00|83.00|1.00|0.00|4.00|5.00|19.00|4.00|0.00|0.00|0.00|1.00|217.00|7.00|225.00|667.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
5.00|16.00|MICHOACAN|1|24.00|ĹZARO ĆRDENAS|50.00|ĹZARO ĆRDENAS|860.00|URBANA|C08|43.00|55.00|62.00|5.00|0.00|1.00|2.00|15.00|6.00|0.00|1.00|0.00|0.00|190.00|0.00|190.00|666.00|ACTA CASILLA||||1|24|50|LAZARO CARDENAS|860|U|
