V1,V2
-115.57,29.69
-115.57,29.69
-115.57,29.70
-115.58,29.70
-115.58,29.70
-115.59,29.70
-115.59,29.71
-115.60,29.71
-115.60,29.71
-115.61,29.71
-115.62,29.71
-115.63,29.71
-115.63,29.72
-115.63,29.72
-115.64,29.72
-115.64,29.73
-115.64,29.73
-115.65,29.73
-115.65,29.74
-115.66,29.74
-115.66,29.74
-115.66,29.75
-115.67,29.75
-115.67,29.75
-115.68,29.76
-115.68,29.76
-115.69,29.76
-115.69,29.77
-115.69,29.77
-115.70,29.77
-115.70,29.78
-115.70,29.78
-115.70,29.79
-115.70,29.80
-115.70,29.80
-115.70,29.81
-115.69,29.82
-115.69,29.82
-115.69,29.83
-115.69,29.84
-115.69,29.84
-115.69,29.85
-115.69,29.85
-115.69,29.86
-115.69,29.87
-115.70,29.87
-115.70,29.88
-115.70,29.88
-115.70,29.89
-115.71,29.89
-115.71,29.89
-115.71,29.90
-115.71,29.90
-115.72,29.91
-115.72,29.91
-115.72,29.92
-115.72,29.92
-115.73,29.93
-115.73,29.93
-115.73,29.93
-115.74,29.94
-115.74,29.94
-115.74,29.95
-115.75,29.95
-115.76,29.95
-115.76,29.95
-115.77,29.95
-115.78,29.95
-115.78,29.95
-115.79,29.95
-115.80,29.95
-115.80,29.95
-115.81,29.95
-115.81,29.96
-115.81,29.97
-115.81,29.97
-115.81,29.98
-115.81,29.99
-115.80,29.99
-115.80,30.00
-115.80,30.00
-115.80,30.01
-115.80,30.01
-115.79,30.02
-115.79,30.02
-115.79,30.03
-115.79,30.03
-115.79,30.04
-115.79,30.04
-115.78,30.05
-115.78,30.06
-115.78,30.06
-115.78,30.07
-115.78,30.08
-115.78,30.08
-115.78,30.09
-115.78,30.09
-115.78,30.10
-115.78,30.11
-115.79,30.11
-115.79,30.12
-115.79,30.12
-115.79,30.13
-115.79,30.13
-115.80,30.14
-115.80,30.14
-115.80,30.15
-115.80,30.15
-115.80,30.16
-115.80,30.16
-115.80,30.17
-115.80,30.18
-115.80,30.18
-115.79,30.19
-115.79,30.19
-115.79,30.20
-115.79,30.21
-115.79,30.21
-115.79,30.22
-115.79,30.23
-115.79,30.23
-115.80,30.24
-115.80,30.24
-115.80,30.25
-115.80,30.25
-115.80,30.26
-115.80,30.27
