Fecha,AEROMEX,ARA,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,CEMEXCPO,CHDRAUIB,GCARSOA,GMEXICOB,GRUMAB,KIMBERA,KOF,LAMOSA,MEGACPO,MEXCHEM,MFRISCOA,PE¥OLES,VITROA
8/2/2012,24.6,4.172804,74.412964,14.963544,4.6,20.464165,28.902855,8.47217,31.151798,36.446499,36.646584,28.20116,19.517714,87.428925,13.286016,24.056351,40.139931,57.799999,572.685791,14.588675
9/2/2012,24.549999,4.240418,73.61895,14.729761,4.75,20.637749,28.912655,8.56701,31.06451,36.899887,36.820919,27.758413,19.492064,87.490417,13.640934,24.358164,39.911812,58.380001,572.694702,14.627682
10/2/2012,24.620001,4.192122,74.015953,14.963544,5.15,21.195028,28.981262,8.51959,31.083908,36.751842,36.786068,27.82579,19.466408,88.078941,13.640934,24.100735,40.367943,58.669998,577.597168,14.61793
13/2/2012,24.709999,4.4819,74.128143,15.552671,5.48,21.204163,29.255688,8.56701,31.142101,37.381031,36.899384,27.719913,19.476656,88.26342,13.640934,24.233889,40.587212,59.73,583.836609,14.140093
14/2/2012,24.700001,4.298374,74.456108,15.029002,5.13,21.012318,28.883251,8.34572,30.744461,36.909142,36.655296,28.124161,19.201841,88.395187,13.640934,24.225012,40.824081,58.93,562.497681,14.091334
15/2/2012,24.92,4.2211,74.965317,15.010299,5.02,21.094536,29.4027,8.32992,30.841444,36.779598,35.836826,27.729538,19.096596,87.815422,13.640934,24.278273,40.964397,59.689999,569.031311,14.140093
16/2/2012,24.76,4.124507,74.827217,15.057055,4.96,20.966637,29.4027,8.50378,31.171196,37.001671,36.171257,28.133787,19.068319,88.456673,13.640934,24.322657,41.903057,59.950001,580.182129,14.432647
17/2/2012,25,4.134166,74.568306,14.963544,4.9,21.012318,29.206682,8.5433,31.762808,37.010918,35.414398,27.912415,19.065781,88.948586,13.104012,24.597837,41.797794,58.549999,570.466431,14.7252
20/2/2012,25.040001,4.153485,75.819748,15.029002,5.11,21.11281,29.373299,8.61443,32.228344,36.964653,36.039242,28.278162,19.260929,88.491806,13.104012,24.766499,42.104767,59.240002,575.841187,15.602861
21/2/2012,24.48,4.066551,75.189713,14.94484,4.9,21.286388,28.383408,8.31411,31.704617,36.964653,35.599213,27.835413,18.901371,88.808044,13.104012,24.84639,41.771473,58,572.374023,16.968109
