572
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PT|PVEM|MC|MORENA|PES|RSP|FPM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI1|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|365|B|1|0|3|364|3|8|0|E0|0||16|72|15|5|6|18|5|52|2|2|6|0|0|0|0|0|0|0|0|0|0|3|186|2021|6|6|19|20|11|1|N
1|1|367|B|1|0|2|599|3|8|0|E0|0||16|122|34|3|6|12|11|99|4|3|26|0|0|0|0|0|0|0|0|0|0|15|335|2021|6|6|18|56|1|1|N
1|2|105|B|1|0|1|583|1|11|0|E0|0||55|120|25|17|5|5|6|81|5|0|2|0|0|0|0|0|0|0|0|0|0|9|275|2021|6|6|19|23|10|1|N
1|2|114|B|1|0|1|444|1|13|0|E0|0||58|132|17|2|1|6|12|69|4|1|11|0|0|0|0|0|0|0|1|0|0|10|266|2021|6|6|18|38|47|1|N
1|2|118|C|4|0|1|649|1|13|0|E0|0||64|159|23|5|6|6|9|99|4|2|8|0|0|0|0|0|0|0|0|0|0|7|328|2021|6|6|19|23|31|1|N
1|2|153|B|1|0|1|491|1|15|0|E0|0||103|117|23|2|5|7|14|99|2|1|6|0|0|0|0|0|0|0|0|0|2|11|289|2021|6|6|19|14|25|1|N
1|2|563|C|1|0|1|440|1|15|0|E0|0||86|89|12|4|1|4|10|44|2|1|0|0|0|0|0|0|0|0|0|0|0|9|176|2021|6|6|19|8|51|1|N
1|2|569|B|1|0|1|390|1|15|0|E0|0||88|58|16|4|2|9|8|62|6|1|3|0|0|0|0|73|64|71|11|0|0|8|396|2021|6|6|18|35|46|1|N
1|2|589|C|7|0|2|689|1|16|0|E0|0||93|84|16|8|13|2|4|45|6|6|3|0|0|0|0|0|0|0|1|0|0|4|192|2021|6|6|18|58|6|1|N
1|3|2|B|1|0|1|457|1|6|0|E0|0||12|189|23|2|1|2|7|28|0|0|4|0|0|0|0|0|0|0|0|0|0|3|259|2021|6|6|19|0|33|1|N
1|3|13|C|1|0|1|397|1|6|0|E0|0||19|152|20|1|1|4|9|49|2|1|7|0|0|0|0|0|0|0|1|0|1|4|252|2021|6|6|18|45|10|1|N
1|3|33|B|1|0|1|402|1|10|0|E0|0||35|102|16|0|2|3|11|52|4|1|2|0|0|0|0|0|0|0|0|0|1|8|202|2021|6|6|18|59|12|1|N
1|3|37|C|1|0|1|524|1|10|0|E0|0||41|198|19|3|2|4|7|56|1|2|2|0|0|0|0|0|0|0|0|0|0|10|304|2021|6|6|19|22|0|1|N
1|3|229|B|1|0|1|381|1|17|0|E0|0||89|97|10|1|0|9|11|64|6|2|2|0|0|0|0|0|0|0|1|0|1|10|214|2021|6|6|19|8|55|1|N
1|3|279|B|1|0|1|609|1|10|0|E0|0||46|324|30|5|1|4|8|56|5|1|2|0|0|0|0|0|0|0|0|0|1|7|444|2021|6|6|19|5|54|1|N
1|3|297|C|1|0|1|420|1|17|0|E0|0||67|100|21|7|6|7|11|32|2|1|6|0|0|0|0|1|0|0|0|0|0|3|197|2021|6|6|19|2|16|1|N
5|1|623|C|2|0|1|739|25|2|0|E0|0||103|64|113|1|52|13|9|130|3|3|2|0|0|0|0|0|0|0|0|0|0|2|392|2021|6|6|19|9|15|1|N
5|1|1065|B|1|0|1|445|32|3|0|E0|0||134|27|99|1|3|1|6|103|0|1|0|0|0|0|0|0|0|0|0|0|0|9|250|2021|6|6|19|5|30|1|N
5|1|1683|C|1|0|2|523|2|1|0|E0|0||40|6|75|1|7|35|2|114|0|2|3|0|0|0|0|1|0|0|0|0|1|5|252|2021|6|6|18|51|53|1|N
5|2|90|C|2|0|1|681|6|6|0|E0|0||41|23|136|5|2|3|4|222|5|1|0|0|0|0|0|0|0|0|0|0|0|3|404|2021|6|6|18|49|54|1|N
5|2|126|B|1|0|3|139|7|4|0|E0|0||48|41|31|2|0|0|0|15|0|0|4|0|0|0|0|0|0|0|0|0|0|0|93|2021|6|6|18|51|43|1|N
5|2|256|B|1|0|2|431|16|4|0|E0|0||57|108|174|1|1|0|5|79|0|2|0|0|0|0|0|0|0|0|0|0|0|8|378|2021|6|6|19|17|12|1|N
5|2|459|C|1|0|1|560|20|3|0|E0|0||14|17|115|1|1|5|11|161|2|0|0|0|0|0|0|0|0|0|0|0|0|6|319|2021|6|6|19|14|33|1|N
5|2|464|C|1|0|1|500|20|3|0|E0|0||19|10|145|1|8|3|3|121|0|0|2|0|0|0|0|0|0|0|0|0|0|4|297|2021|6|6|19|7|43|1|N
5|2|467|C|1|0|1|555|20|3|0|E0|0||17|9|125|1|2|4|6|183|1|2|0|0|0|0|0|0|0|0|0|0|0|7|340|2021|6|6|19|2|15|1|N
5|2|502|C|1|0|1|405|21|4|0|E0|0||60|75|108|0|1|0|3|96|1|1|0|0|0|0|0|0|0|0|0|0|0|5|290|2021|6|6|18|55|4|1|N
