semestre,,fecha_examen,egres,posponer,edad,carrera,universidad,promedio,tiempo,algebra,calculo,veces
1/2/2019,,,,0,24,MATEMATICAS APLICADAS,Univ Aut Querétaro,9.21,4,9,5,2
1/2/2019,,,,0,25,FISICOMATEMATICAS,IPN,9.58,5,10,9.2,0
1/2/2019,,,,0,24,ACTUARIA,FC UNAM,9.27,4,5,6,2
1/2/2019,,,,0,,,,,,,,0
1/2/2019,,,,0,24,MATEMATICAS,FC UNAM,9.93,4,9,6.3,0
1/2/2019,,,,0,25,MATEMATICAS,UAEM,9.72,4,9,8.5,0
1/2/2019,,,,0,25,MATEMATICAS APLICADAS,Univ. Tec. Mixteca,8.4,6,8,5.8,0
1/2/2019,,,,1,25,MATEMATICAS,FC UNAM,8.52,5,4.5,4,0
1/2/2019,,,,1,24,MATEMATICAS,FC UNAM,8.78,4,8.5,10,0
1/2/2019,,,,0,24,MATEMATICAS,FC UAEM ,9,4,9.5,4.3,0
1/2/2019,,,,0,26,MATEMATICAS,FC UNAM,9.31,4,7,6.3,2
1/2/2019,,,,0,26,MATEMATICAS APLICADAS,Univ. Tec. Mixteca,9.4,4,6.5,4.6,0
1/2/2019,,,,1,27,MATEMATICAS,FC UNAM,8.75,4,6.8,6.5,0
1/2/2019,,,,1,25,MATEMATICAS,FC UNAM,9.65,4,4.3,7,0
1/2/2019,,,,0,33,Enseñanza de las MATEMATICAS,Univ Heredia Costa Rica ,8.82,7,7.5,4.2,0
